,move,score_diff
0,1,10
1,2,6
2,3,2
3,4,10
4,5,-1
5,6,5
6,7,-7
7,8,3
8,9,6
9,10,-4
10,11,0
11,12,-2
12,13,-35
13,14,6
14,15,4
15,16,-4
16,17,0
17,18,-5
18,19,0
19,20,6
20,21,0
21,22,0
22,23,-9
23,24,7
24,25,1
25,26,5
26,27,10
27,28,-1
28,29,11
29,30,-15
30,31,4
31,32,17
32,33,-4
33,34,-4
34,35,-26
35,36,7
36,37,-36
37,38,5
38,39,-13
39,40,11
40,41,21
41,42,11
42,43,-40
43,44,0
44,45,16
45,46,7
46,47,4
47,48,2
48,49,-2
49,50,-1
50,51,-5
51,52,-20
52,53,4
53,54,-19
54,55,-9
55,56,4
56,57,-4
57,58,5
58,59,23
59,60,-14
60,61,-24
61,62,-15
62,63,-15
63,64,-8
64,65,-58
65,66,-8
66,67,26
67,68,-36
68,69,-1
69,70,0
70,71,-8
71,72,-4
72,73,1
73,74,0
74,75,0
75,76,0
76,77,0
77,78,0
