,move,score_diff
0,1,-7
1,2,-10
2,3,5
3,4,-19
4,5,2
5,6,-2
6,7,3
7,8,-17
8,9,-7
9,10,-7
10,11,5
11,12,-5
12,13,-26
13,14,-20
14,15,20
15,16,-2
16,17,-41
17,18,0
18,19,0
19,20,-10
20,21,-22
21,22,-15
22,23,-7
23,24,-10
24,25,-7
25,26,-3
26,27,-1
27,28,-19
28,29,6
29,30,-7
30,31,2
31,32,-1
32,33,-2
33,34,-22
34,35,0
35,36,-30
36,37,6
37,38,-4
38,39,7
39,40,-7
40,41,12
41,42,11
42,43,15
43,44,3
44,45,0
45,46,-27
46,47,-29
47,48,-23
48,49,-22
49,50,-4
50,51,-16
51,52,-12
52,53,-2
53,54,-6
54,55,-7
55,56,0
56,57,-4
57,58,-2
58,59,3
59,60,0
60,61,0
61,62,-31
62,63,0
63,64,1
64,65,-37
65,66,-14
66,67,-36
67,68,-20
68,69,-6
69,70,-20
70,71,-27
71,72,3
72,73,3
73,74,-5
